BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","Scott2019","Scott, Aaron T.; Breheny, Patrick J.; Keck, Kendall J.; Bellizzi, Andrew M.; Dillon, Joseph S.; O'Dorisio, Thomas M.; Howe, James R.","Effective cytoreduction can be achieved in patients with numerous neuroendocrine tumor liver metastases (NETLMs)","Surgery",165,1,"","166 - 175",2019,"","","http://www.sciencedirect.com/science/article/pii/S0039606018305397","","","","","","","","","","","","","","","","",""
7,"","Smith2018","Smith, Caitlin J.; Baer, Rebecca J.; Oltman, Scott P.; Breheny, Patrick J.; Bao, Wei; Robinson, Jennifer G.; Dagle, John M.; Liang, Liang; Feuer, Sky K.; Chambers, Christina D.; Jelliffe-Pawlowski, Laura L.; Ryckman, Kelli K.","Maternal dyslipidemia and risk for preterm birth","PLOS ONE",13,12,"12","1-10",2018,"","","https://doi.org/10.1371/journal.pone.0209579","","","","","","Public Library of Science","","","","","","","","","","",""
7,"","Breheny2018","Breheny, Patrick; Stromberg, Arnold; Lambert, Joshua","$p$-value histograms: Inference and diagnostics","High-Throughput",7,3,"","1--13",2018,"","","http://www.mdpi.com/2571-5135/7/3/23","","","","","","","","","","","","","","","","",""
7,"","Donovan2018","Donovan, Brittney M.; Ryckman, Kelli K.; Breheny, Patrick J.; Gebretsadik, Tebeb; Turi, Kedir N.; Larkin, Emma K.; Li, Yinmei; Dorley, Mary C.; Hartert, Tina V.","Association of newborn screening metabolites with risk of wheezing in childhood","Pediatric Research",,,"","",to appear,"","","https://doi.org/10.1038/s41390-018-0070-4","","","","","","","","","","","","","","","","",""
14,"","local-mfdr","Miller, Ryan; Breheny, Patrick","Feature-specific inference for penalized regression using local false discovery rates","",,,"","",In submission,"","\quad","","","","","","","","","","","","","","","","","",""
7,"","Zhang2018","Zhang, Xiaoming; Yoon, Jin-Young; Morley, Michael; McLendon, Jared M.; Mapuskar, Kranti A.; Gutmann, Rebecca; Mehdi, Haider; Bloom, Heather L.; Dudley, Samuel C.; Ellinor, Patrick T.; Shalaby, Alaa A.; Weiss, Raul; Tang, W. H. Wilson; Moravec, Christine S.; Singh, Madhurmeet; Taylor, Anne L.; Yancy, Clyde W.; Feldman, Arthur M.; McNamara, Dennis M.; Irani, Kaikobad; Spitz, Douglas R.; Breheny, Patrick; Margulies, Kenneth B.; London, Barry; Boudreau, Ryan L.","A common variant alters SCN5A--miR-24 interaction and associates with heart failure mortality","The Journal of Clinical Investigation",128,3,"3","1154-1163",2018,"","","https://www.jci.org/articles/view/95710","","","","","","The American Society for Clinical Investigation","","","","","","","","","","",""
7,"","Breheny2017","Breheny, Patrick; Burchett, Woodrow","Visualization of regression models using \textttvisreg","The {R} Journal",9,2,"","56--71",2017,"","","https://journal.r-project.org/archive/2017/RJ-2017-046/index.html","","","","","","","","","","","","","","","","",""
14,"","ZengBigLasso","Zeng, Yaohui; Breheny, Patrick","The biglasso package: A memory- and computation-efficient solver for lasso model fitting with big data in R","",,,"","",In submission,"","\quad","","","","","","","","","","","","","","","","","",""
7,"","BrehenyLassoFDR","Breheny, Patrick","Marginal false discovery rates for penalized regression models","Biostatistics",,,"","",To appear,"","","http://dx.doi.org/10.1093/biostatistics/kxy004","","","","","","","","","","","","","","","","",""
7,"","mfdr-lik","Miller, Ryan; Breheny, Patrick","Marginal false discovery rate control for likelihood-based penalized regression models","Biometrical Journal",,,"","",To appear,"","","https://onlinelibrary.wiley.com/doi/abs/10.1002/bimj.201800138","","","","","","","","","","","","","","","","",""
7,"","Keck2018","Keck, Kendall J.; Breheny, Patrick; Braun, Terry A.; Darbro, Benjamin; Li, Guiying; Dillon, Joseph S.; Bellizzi, Andrew M.; O'Dorisio, Thomas M.; Howe, James R.","Changes in gene expression in small bowel neuroendocrine tumors associated with progression to metastases","Surgery",163,1,"","232 - 239",2018,"","","http://www.sciencedirect.com/science/article/pii/S0039606017306141","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Keck2018.pdf",""
7,"","Chau2017","Chau, Destiny.; Reddy, Arundathi.; Breheny, Patrick.; Young, Anna.; Ashford, Eric.; Song, Megan.; Zhang, Christina.; Taylor, Tammy.; Younes, Abbas.; Vazifedan, Turaj.","Revisiting the applicability of adult early post-operative nausea and vomiting risk factors for the paediatric patient: A prospective study using cotinine levels in children undergoing adenotonsillectomies","Indian Journal of Anaesthesia",61,12,"","964-971",2017,"","","http://www.ijaweb.org/article.asp?issn=0019-5049;year=2017;volume=61;issue=12;spage=964;epage=971;aulast=Chau;t=6","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Chau2017.pdf",""
7,"","Keck2017","Keck, Kendall J.; Choi, Allen; Maxwell, Jessica E.; Li, Guiying; O'Dorisio, Thomas M.; Breheny, Patrick; Bellizzi, Andrew M.; Howe, James R.","Increased grade in neuroendocrine tumor metastases negatively impacts survival","Annals of Surgical Oncology",24,8,"Aug","2206--2212",2017,"","","https://doi.org/10.1245/s10434-017-5899-y","","","","","","","","","","","","","Tumor grade is an important predictor of survival in gastroenteropancreatic (GEP) neuroendocrine tumors (NETs), as determined by Ki-67 expression and mitotic rate. NETs generally grow indolently, but some cells may acquire traits facilitating metastasis. It is unclear how frequently metastases differ in grade from their primary tumors, and whether increasing grade in metastases affects prognosis.","","","/iahome/p/pb/pbreheny/pdf/articles/Keck2017.pdf",""
7,"","Graham2017","Graham, Michael M.; Gu, Xiaomei; Ginader, Timothy; Breheny, Patrick; Sunderland, John J.","68Ga-DOTATOC imaging of neuroendocrine tumors: A systematic review and metaanalysis","Journal of Nuclear Medicine",58,9,"","1452-1458",2017,"","","http://jnm.snmjournals.org/content/58/9/1452.abstract","","","","","","","","","","","","","","","","",""
14,"","ZengHSSR","Zeng, Yaohui; Breheny, Patrick; Yang, Tianbao","Efficient feature screening for lasso-type problems via hybrid safe-strong rules","",,,"","",In submission,"","\quad","","","","","","","","","","","","","","","","","",""
7,"","Hill-Burns2016","Hill-Burns, Erin M.; Ross, Owen A.; Wissemann, William T.; Soto-Ortolaza, Alexandra I.; Zareparsi, Sepideh; Siuda, Joanna; Lynch, Timothy; Wszolek, Zbigniew K.; Silburn, Peter A.; Mellick, George D.; Ritz, Beate; Scherzer, Clemens R.; Zabetian, Cyrus P.; Factor, Stewart A.; Breheny, Patrick J.; Payami, Haydeh","Identification of genetic modifiers of age-at-onset for familial Parkinson's disease","Human Molecular Genetics",25,17,"","3849",2016,"","","http://dx.doi.org/10.1093/hmg/ddw206","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Hill-Burns2016.pdf",""
7,"","Lee2015a","Lee, Sangin; Breheny, Patrick","Strong Rules for Nonconvex Penalties and Their Implications for Efficient Algorithms in High-Dimensional Regression","Journal of Computational and Graphical Statistics",24,4,"","1074-1091",2015,"","","http://dx.doi.org/10.1080/10618600.2014.975231","","","","","","","","","","","","","","","","",""
7,"","Breheny2015a","Breheny, Patrick","The group exponential lasso for bi-level variable selection","Biometrics",71,3,"","731--740",2015,"","","http://dx.doi.org/10.1111/biom.12300","","","","","","","","","","","","","","","Group variable selection, Penalized regression, Rare variants","/iahome/p/pb/pbreheny/pdf/articles/Breheny2015a.pdf",""
7,"","Pashkova2016","Pashkova, Natasha; Peterson, Tabitha; Krishnamani, Venkatramanan; Breheny, Patrick; Stamnes, Mark; Piper, Robert","DEEPN as an approach for batch processing of yeast 2-hybrid interactions","Cell Reports",17,1,"","303--315",2016,"","","http://dx.doi.org/10.1016/j.celrep.2016.08.095","","","","","","Elsevier","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Pashkova2016.pdf",""
7,"","Spracklen2017","Spracklen, Cassandra N.; Smith, Caitlin J.; Saftlas, Audrey F.; Triche, Elizabeth W.; Bjonnes, Andrew; Keating, Brendan J.; Saxena, Richa; Breheny, Patrick J.; Dewan, Andrew T.; Robinson, Jennifer G.; Hoh, Josephine; Ryckman, Kelli K.","Genetic predisposition to elevated levels of C-reactive protein is associated with a decreased risk for preeclampsia","Hypertension in Pregnancy",36,1,"","30-35",2017,"","PMID: 27657194"," http://dx.doi.org/10.1080/10641955.2016.1223303 
","","","","","","","","","","","","","","","","",""
7,"","Zeng2016","Zeng, Yaohui; Breheny, Patrick","Overlapping group logistic regression with applications to genetic pathway selection","Cancer Informatics",15,,"09","179--187",2016,"","","http://www.la-press.com/overlapping-group-logistic-regression-with-applications-to-genetic-pat-article-a5904","","","","","","Libertas Academica","","","","","","","","","","",""
